base_path,folder,folder_hint,label
viral_load,bokaa,17,BHS
viral_load,digawana,12,BHS
viral_load,gumare,35,BHS
viral_load,gweta,34,BHS
viral_load,lentswelatau,16,BHS
viral_load,lerala,21,BHS
viral_load,letlhakeng,15,BHS
viral_load,manga,41,BHS
viral_load,masunga,37,BHS
viral_load,mathangwane,31,BHS
viral_load,maunatlala,23,BHS
viral_load,metsimotlhabe,29,BHS
viral_load,mmadinare,26,BHS
viral_load,mmandunyane,32,BHS
viral_load,mmankgodi,19,BHS
viral_load,mmathethe,20,BHS
viral_load,molapowabajong,13,BHS
viral_load,nata,38,BHS
viral_load,nkange,27,BHS
viral_load,oodi,18,BHS
viral_load,otse,14,BHS
viral_load,rakops,33,BHS
viral_load,ramokgonami,24,BHS
viral_load,ranaka,11,BHS
viral_load,sebina,28,BHS
viral_load,sefhare,39,BHS
viral_load,sefophe,22,BHS
viral_load,shakawe,36,BHS
viral_load,shoshong,25,BHS
viral_load,tatisiding,30,BHS
viral_load,tsetsebjwe,40,BHS
viral_load,bokaa,07,CDC1
viral_load,lentsweletau,05,CDC1
viral_load,lerala,11,CDC1
viral_load,letlhakeng,06,CDC1
viral_load,lorwana,01,CDC1
viral_load,mandunyane,22,CDC1
viral_load,manga,16,CDC1
viral_load,mathangwane,21,CDC1
viral_load,maunatlala,13,CDC1
viral_load,metsimotlhabe,18,CDC1
viral_load,mmankgodi,09,CDC1
viral_load,mmathethe,10,CDC1
viral_load,molapowabojang,04,CDC1
viral_load,nkange,19,CDC1
viral_load,oodi,08,CDC1
viral_load,otse,03,CDC1
viral_load,ramokgonami,14,CDC1
viral_load,ranaka,02,CDC1
viral_load,sebina,20,CDC1
viral_load,sefhophe,12,CDC1
viral_load,shoshong,15,CDC1
viral_load,tatisiding,17,CDC1
viral_load,bokaa,17,CDC2
viral_load,digawana,12,CDC2
viral_load,gumare,35,CDC2
viral_load,gweta,34,CDC2
viral_load,lentswelatau,16,CDC2
viral_load,lerala,21,CDC2
viral_load,letlhakeng,15,CDC2
viral_load,manga,41,CDC2
viral_load,masunga,37,CDC2
viral_load,mathangwane,31,CDC2
viral_load,maunatlala,23,CDC2
viral_load,metsimotlhabe,29,CDC2
viral_load,mmadinare,26,CDC2
viral_load,mmandunyane,32,CDC2
viral_load,mmankgodi,19,CDC2
viral_load,mmathethe,20,CDC2
viral_load,molapowabajong,13,CDC2
viral_load,nata,38,CDC2
viral_load,nkange,27,CDC2
viral_load,oodi,18,CDC2
viral_load,otse,14,CDC2
viral_load,rakops,33,CDC2
viral_load,ramokgonami,24,CDC2
viral_load,ranaka,11,CDC2
viral_load,sebina,28,CDC2
viral_load,sefhare,39,CDC2
viral_load,sefophe,22,CDC2
viral_load,shakawe,36,CDC2
viral_load,shoshong,25,CDC2
viral_load,tatisiding,30,CDC2
viral_load,tsetsebjwe,40,CDC2
